,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Generation,Usage Rate,Tier
303,858,Hatterene,Psychic,Fairy,57,90,95,136,103,29,510,85.0,8,4.78415%,OU
304,859,Impidimp,Dark,Fairy,45,45,30,55,40,50,265,44.17,8,0.00012%,OU
305,860,Morgrem,Dark,Fairy,65,60,45,75,55,70,370,61.67,8,0.00294%,OU
306,861,Grimmsnarl,Dark,Fairy,95,120,65,95,75,60,510,85.0,8,4.76801%,OU
307,862,Obstagoon,Dark,Normal,93,90,101,60,81,95,520,86.67,8,1.82258%,OU
308,863,Perrserker,Steel,,70,110,100,50,60,50,440,73.33,8,0.01165%,OU
309,864,Cursola,Ghost,,60,95,50,145,130,30,510,85.0,8,0.03090%,OU
310,865,Sirfetch'd,Fighting,,62,135,95,68,82,65,507,84.5,8,0.89271%,OU
311,866,Mr. Rime,Ice,Psychic,80,85,75,110,100,70,520,86.67,8,0.03809%,OU
312,867,Runerigus,Ground,Ghost,58,95,145,50,105,30,483,80.5,8,0.27206%,OU
313,868,Milcery,Fairy,,45,40,40,50,61,34,270,45.0,8,0.00002%,OU
314,869,Alcremie,Fairy,,65,60,75,110,121,64,495,82.5,8,0.01296%,OU
315,870,Falinks,Fighting,,65,100,100,70,60,75,470,78.33,8,0.01173%,OU
316,871,Pincurchin,Electric,,48,101,95,91,85,15,435,72.5,8,0.09462%,OU
317,872,Snom,Ice,Bug,30,25,35,45,30,20,185,30.83,8,0.00017%,OU
318,873,Frosmoth,Ice,Bug,70,65,60,125,90,65,475,79.17,8,0.11201%,OU
319,874,Stonjourner,Rock,,100,125,135,20,20,70,470,78.33,8,0.01572%,OU
320,877,Morpeko,Electric,Dark,58,95,58,70,58,97,436,72.67,8,0.07080%,OU
321,879,Copperajah,Steel,,122,130,69,80,69,30,500,83.33,8,0.12088%,OU
322,880,Dracozolt,Electric,Dragon,90,100,90,80,70,75,505,84.17,8,0.47905%,OU
323,881,Arctozolt,Electric,Ice,90,100,90,90,80,55,505,84.17,8,0.11871%,OU
324,882,Dracovish,Water,Dragon,90,90,100,70,80,75,505,84.17,8,15.58086%,OU
325,883,Arctovish,Water,Ice,90,90,100,80,90,55,505,84.17,8,0.01585%,OU
326,884,Duraludon,Steel,Dragon,70,95,115,120,50,85,535,89.17,8,0.09644%,OU
327,886,Drakloak,Dragon,Ghost,68,80,50,60,50,102,410,68.33,8,0.00001%,OU
328,887,Dragapult,Dragon,Ghost,88,120,75,100,75,142,600,100.0,8,25.15101%,OU
